INFO  - 2014-11-08 17:11:36.205; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-11-08 17:11:36.206; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-11-08 17:11:36.206; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2014-11-08 17:11:36.207; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-11-08 17:11:36.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-11-08 17:11:36.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-11-08 17:11:36.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.210; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.211; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2014-11-08 17:11:36.211; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Development/solr-4.10.2/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
